iter	Passed	Remaining
0	145	145424
1	146	72913
2	146	48730
3	147	36648
4	147	29402
5	148	24563
6	148	21112
7	149	18527
8	149	16511
9	150	14896
10	151	13577
11	151	12476
12	152	11545
13	152	10749
14	153	10056
15	153	9449
16	154	8915
17	154	8439
18	155	8014
19	155	7631
20	156	7284
21	156	6970
22	157	6682
23	157	6417
24	158	6175
25	158	5953
26	159	5745
27	159	5554
28	160	5375
29	161	5207
30	161	5050
31	162	4903
32	162	4765
33	163	4634
34	163	4511
35	164	4395
36	164	4285
37	165	4181
38	165	4082
39	166	3988
40	166	3899
41	167	3814
42	167	3734
43	168	3656
44	168	3582
45	169	3511
46	169	3443
47	170	3378
48	170	3316
49	171	3256
50	171	3199
51	172	3143
52	172	3090
53	173	3039
54	174	2990
55	174	2942
56	175	2895
57	175	2851
58	176	2808
59	176	2766
60	177	2726
61	177	2687
62	178	2650
63	178	2613
64	179	2578
65	179	2543
66	180	2510
67	180	2477
68	181	2446
69	181	2415
70	182	2385
71	182	2356
72	183	2328
73	183	2300
74	184	2273
75	184	2247
76	185	2222
77	185	2197
78	186	2173
79	186	2149
80	187	2126
81	187	2104
82	188	2079
83	188	2058
84	189	2037
85	189	2017
86	190	1997
87	190	1978
88	191	1959
89	191	1940
90	192	1922
91	192	1904
92	193	1887
93	194	1869
94	194	1852
95	195	1836
96	195	1820
97	196	1806
98	196	1790
99	197	1775
100	197	1760
101	198	1745
102	198	1731
103	199	1717
104	199	1703
105	200	1689
106	200	1676
107	201	1663
108	201	1650
109	202	1637
110	202	1625
111	203	1613
112	204	1601
113	204	1589
114	205	1578
115	205	1566
116	205	1554
117	206	1543
118	207	1533
119	207	1522
120	208	1511
121	208	1500
122	209	1490
123	209	1480
124	210	1470
125	210	1460
126	211	1450
127	211	1441
128	212	1431
129	212	1422
130	213	1413
131	213	1404
132	214	1395
133	214	1386
134	215	1378
135	215	1369
136	216	1361
137	216	1353
138	217	1345
139	217	1337
140	218	1329
141	218	1320
142	219	1312
143	219	1305
144	220	1297
145	220	1290
146	221	1282
147	221	1275
148	222	1268
149	222	1261
150	223	1254
151	223	1247
152	224	1240
153	224	1234
154	225	1227
155	225	1221
156	226	1214
157	226	1208
158	227	1201
159	227	1195
160	228	1188
161	228	1182
162	229	1176
163	229	1170
164	230	1164
165	230	1158
166	231	1153
167	231	1147
168	232	1142
169	232	1136
170	233	1131
171	233	1125
172	234	1120
173	234	1115
174	235	1109
175	235	1104
176	236	1099
177	236	1094
178	237	1089
179	237	1084
180	238	1079
181	238	1074
182	239	1069
183	239	1064
184	240	1059
185	240	1054
186	241	1049
187	241	1045
188	242	1040
189	243	1036
190	243	1031
191	244	1027
192	244	1023
193	245	1018
194	245	1014
195	246	1010
196	246	1006
197	247	1001
198	247	997
199	248	993
200	248	989
201	249	985
202	249	981
203	250	977
204	250	973
205	251	969
206	252	965
207	252	961
208	253	957
209	253	953
210	254	950
211	254	946
212	255	942
213	255	938
214	256	935
215	256	931
216	257	927
217	257	924
218	258	920
219	258	917
220	259	913
221	259	910
222	260	907
223	260	904
224	261	900
225	261	897
226	262	893
227	263	890
228	263	887
229	264	884
230	264	880
231	265	877
232	265	874
233	266	871
234	266	868
235	267	865
236	267	862
237	268	859
238	268	856
239	269	853
240	269	850
241	270	847
242	270	844
243	271	841
244	272	838
245	272	835
246	273	832
247	273	829
248	274	826
249	274	824
250	275	821
251	275	818
252	276	815
253	276	812
254	277	810
255	277	807
256	278	804
257	278	801
258	279	799
259	279	796
260	280	793
261	280	791
262	281	788
263	281	786
264	282	783
265	282	780
266	283	778
267	283	775
268	284	773
269	285	770
270	285	768
271	286	765
272	286	763
273	287	760
274	287	758
275	288	755
276	288	753
277	289	751
278	289	748
279	290	746
280	290	744
281	291	742
282	292	739
283	292	737
284	293	735
285	293	732
286	294	730
287	294	728
288	295	726
289	295	723
290	296	721
291	296	719
292	297	717
293	297	715
294	298	713
295	298	710
296	299	708
297	299	706
298	300	704
299	301	702
300	301	700
301	302	698
302	302	695
303	303	693
304	303	691
305	304	689
306	304	687
307	305	685
308	305	683
309	306	681
310	306	679
311	307	677
312	307	675
313	308	673
314	308	671
315	309	669
316	310	667
317	310	666
318	311	664
319	311	662
320	312	660
321	312	658
322	313	656
323	313	654
324	314	652
325	314	650
326	315	648
327	315	646
328	316	645
329	316	643
330	317	641
331	317	639
332	318	637
333	319	636
334	319	634
335	320	632
336	320	631
337	321	629
338	321	627
339	322	625
340	322	623
341	323	622
342	323	620
343	324	618
344	325	617
345	325	615
346	326	613
347	326	611
348	327	610
349	327	608
350	328	606
351	328	604
352	329	603
353	329	601
354	330	599
355	330	598
356	331	596
357	331	594
358	332	593
359	332	591
360	333	589
361	333	588
362	334	586
363	334	585
364	335	583
365	335	581
366	336	580
367	336	578
368	337	576
369	337	575
370	338	573
371	339	572
372	339	570
373	340	569
374	340	567
375	341	566
376	341	564
377	342	563
378	342	561
379	343	559
380	343	558
381	344	556
382	344	555
383	345	553
384	345	552
385	346	550
386	346	549
387	347	547
388	347	546
389	348	544
390	348	543
391	349	541
392	349	540
393	350	538
394	350	537
395	351	536
396	351	534
397	352	533
398	352	531
399	353	530
400	354	528
401	354	527
402	355	525
403	355	524
404	356	523
405	356	521
406	357	520
407	357	518
408	358	517
409	358	516
410	359	514
411	359	513
412	360	511
413	360	510
414	361	509
415	361	507
416	362	506
417	362	504
418	363	503
419	363	502
420	364	500
421	364	499
422	365	498
423	365	496
424	366	495
425	366	494
426	367	492
427	367	491
428	368	490
429	368	488
430	369	487
431	369	486
432	370	484
433	370	483
434	371	482
435	371	480
436	372	479
437	372	478
438	373	477
439	373	475
440	374	474
441	374	473
442	375	471
443	375	470
444	376	469
445	376	468
446	377	466
447	377	465
448	378	464
449	378	463
450	379	461
451	379	460
452	380	459
453	380	458
454	381	456
455	382	455
456	382	454
457	383	453
458	383	452
459	384	450
460	384	449
461	385	448
462	385	447
463	386	446
464	386	444
465	387	443
466	387	442
467	388	441
468	388	440
469	389	438
470	389	437
471	390	436
472	390	435
473	391	434
474	391	432
475	392	431
476	392	430
477	393	429
478	393	428
479	394	427
480	394	425
481	395	424
482	395	423
483	396	422
484	396	421
485	397	420
486	397	419
487	398	417
488	398	416
489	399	415
490	399	414
491	400	413
492	400	412
493	401	411
494	401	409
495	402	408
496	402	407
497	403	406
498	403	405
499	404	404
500	404	403
501	405	402
502	406	401
503	406	400
504	407	398
505	407	397
506	407	396
507	408	395
508	409	394
509	409	393
510	410	392
511	410	391
512	411	390
513	411	389
514	412	388
515	412	387
516	413	385
517	413	384
518	414	383
519	414	382
520	415	381
521	415	380
522	416	379
523	416	378
524	417	377
525	417	376
526	418	375
527	418	374
528	419	373
529	419	372
530	420	371
531	420	370
532	421	369
533	421	368
534	422	367
535	422	366
536	423	365
537	423	363
538	424	362
539	424	361
540	425	360
541	425	359
542	426	358
543	426	357
544	427	356
545	427	355
546	428	354
547	428	353
548	429	352
549	429	351
550	430	350
551	430	349
552	431	348
553	431	347
554	432	346
555	433	345
556	433	344
557	434	343
558	434	342
559	435	341
560	435	341
561	436	340
562	436	339
563	437	338
564	438	337
565	438	336
566	439	335
567	439	334
568	440	333
569	440	332
570	441	331
571	441	330
572	442	329
573	442	328
574	443	327
575	443	326
576	444	325
577	444	324
578	445	323
579	445	322
580	446	321
581	446	320
582	447	320
583	447	319
584	448	318
585	449	317
586	449	316
587	450	315
588	450	314
589	451	313
590	452	313
591	452	312
592	453	311
593	454	310
594	454	309
595	455	308
596	455	307
597	456	306
598	456	305
599	457	304
600	457	303
601	458	303
602	458	302
603	459	301
604	459	300
605	460	299
606	461	298
607	461	297
608	462	296
609	462	295
610	463	294
611	463	294
612	464	293
613	464	292
614	465	291
615	465	290
616	466	289
617	466	288
618	467	287
619	467	286
620	468	285
621	468	285
622	469	284
623	470	283
624	470	282
625	471	281
626	471	280
627	472	279
628	472	278
629	473	277
630	473	276
631	474	276
632	474	275
633	475	274
634	475	273
635	476	272
636	476	271
637	477	270
638	477	269
639	478	269
640	478	268
641	479	267
642	479	266
643	480	265
644	480	264
645	481	263
646	481	262
647	482	262
648	482	261
649	483	260
650	483	259
651	484	258
652	484	257
653	485	256
654	485	255
655	486	255
656	486	254
657	487	253
658	488	252
659	488	251
660	489	250
661	489	249
662	490	249
663	490	248
664	491	247
665	491	246
666	492	245
667	492	244
668	493	243
669	493	243
670	494	242
671	494	241
672	495	240
673	495	239
674	496	238
675	496	238
676	497	237
677	497	236
678	498	235
679	498	234
680	499	233
681	499	233
682	500	232
683	500	231
684	501	230
685	501	229
686	502	228
687	502	228
688	503	227
689	503	226
690	504	225
691	504	224
692	505	223
693	505	223
694	506	222
695	507	221
696	507	220
697	508	219
698	508	218
699	509	218
700	509	217
701	510	216
702	510	215
703	511	214
704	511	214
705	512	213
706	512	212
707	513	211
708	513	210
709	514	210
710	514	209
711	515	208
712	515	207
713	516	206
714	516	205
715	517	205
716	517	204
717	518	203
718	518	202
719	519	201
720	519	201
721	520	200
722	521	199
723	521	198
724	522	198
725	522	197
726	523	196
727	523	195
728	524	194
729	524	194
730	525	193
731	525	192
732	526	191
733	526	190
734	527	190
735	527	189
736	528	188
737	529	187
738	529	187
739	530	186
740	530	185
741	531	184
742	531	183
743	532	183
744	532	182
745	533	181
746	533	180
747	534	180
748	534	179
749	535	178
750	536	177
751	536	176
752	537	176
753	537	175
754	538	174
755	538	173
756	539	173
757	539	172
758	540	171
759	540	170
760	541	170
761	541	169
762	542	168
763	542	167
764	543	166
765	543	166
766	544	165
767	544	164
768	545	163
769	545	163
770	546	162
771	546	161
772	547	160
773	547	159
774	548	159
775	549	158
776	549	157
777	550	157
778	550	156
779	551	155
780	551	154
781	552	153
782	552	153
783	553	152
784	553	151
785	554	150
786	554	150
787	555	149
788	555	148
789	556	147
790	556	147
791	557	146
792	557	145
793	558	144
794	558	144
795	559	143
796	560	142
797	560	141
798	561	141
799	561	140
800	562	139
801	562	138
802	563	138
803	563	137
804	564	136
805	564	135
806	565	135
807	565	134
808	566	133
809	566	132
810	567	132
811	567	131
812	568	130
813	568	129
814	569	129
815	569	128
816	570	127
817	570	126
818	571	126
819	571	125
820	572	124
821	572	124
822	573	123
823	573	122
824	574	121
825	574	121
826	575	120
827	575	119
828	576	118
829	576	118
830	577	117
831	577	116
832	578	115
833	579	115
834	579	114
835	580	113
